cv_mean	cv_std	min_taken	best_iteration	eta	max_depth	min_child_weight	gamma	subsample	colsample_bytree	alpha
0.63252	0.01476	0.2552	193	0.1	1	100	1	0.7	0.7	1
0.63247	0.017096	0.23736	157	0.1	1	100	1	0.7	0.8	1
0.63244	0.015498	0.14284	38	0.5	1	100	1	0.8	0.7	1
0.63242	0.012029	0.29177	77	0.1	4	100	1	0.6	0.7	1
0.63241	0.01909	0.19642	61	0.3	2	100	1	0.7	0.6	1
0.63238	0.017996	0.25859	131	0.1	2	100	1	0.9	0.7	1
0.63236	0.017101	0.15105	62	0.4	1	100	1	1	0.7	1
0.63232	0.015254	0.29862	215	0.2	1	100	1	0.7	0.9	1
0.63231	0.022945	0.1627	22	0.4	2	100	1	0.7	0.7	1
0.6323	0.017463	0.25605	82	0.1	3	100	1	0.6	0.6	1
0.63229	0.021067	0.17482	90	0.3	1	100	1	0.9	0.6	1
0.63229	0.018196	0.20539	119	0.2	1	100	1	0.8	0.8	1
0.63228	0.014377	0.41864	118	0.1	7	100	1	0.9	0.7	1
0.63228	0.014377	0.4402	118	0.1	7	100	1	0.9	0.7	1
0.63227	0.020811	0.31602	214	0.03	2	100	1	0.7	0.5	1
0.63226	0.013783	0.20495	52	0.3	2	100	1	0.8	0.9	1
0.63225	0.0099155	0.13327	23	0.7	1	100	1	0.7	0.8	1
0.63224	0.023146	0.2617	224	0.1	1	100	1	0.8	0.5	1
0.63221	0.016628	0.34265	314	0.1	1	100	1	0.7	0.6	1
0.6322	0.019692	0.29215	160	0.1	2	100	1	0.8	0.7	1
0.63218	0.014025	0.13949	26	0.7	1	100	1	0.8	0.9	1
0.63217	0.020727	0.2643	210	0.1	1	100	1	0.9	0.7	1
0.63217	0.020118	0.27162	196	0.1	1	100	1	0.9	0.9	1
0.63217	0.017159	0.27104	68	0.1	5	100	1	0.6	0.6	1
0.63217	0.017159	0.28242	68	0.1	6	100	1	0.6	0.6	1
0.63217	0.017159	0.27402	68	0.1	7	100	1	0.6	0.6	1
0.63217	0.017159	0.27415	68	0.1	6	100	1	0.6	0.6	1
0.63217	0.017159	0.27237	68	0.1	7	100	1	0.6	0.6	1
0.63217	0.017159	0.27124	68	0.1	6	100	1	0.6	0.6	1
0.63217	0.017159	0.27491	68	0.1	7	100	1	0.6	0.6	1
0.63214	0.021535	0.50639	343	0.03	2	100	1	0.8	0.9	1
0.63211	0.017151	0.62248	591	0.03	2	100	1	0.9	0.5	1
0.6321	0.02188	0.20223	131	0.1	1	100	1	0.8	0.6	1
0.63209	0.024396	0.1288	16	0.6	1	100	1	0.7	0.8	1
0.63208	0.019921	0.1592	36	0.3	2	100	1	0.7	0.5	1
0.63208	0.013332	0.51722	177	0.1	7	100	1	1	0.7	1
0.63208	0.013332	0.52107	177	0.1	7	100	1	1	0.7	1
0.63206	0.020392	0.39919	153	0.1	4	100	1	0.8	0.7	1
0.63204	0.019568	0.39915	260	0.1	2	100	1	0.8	0.8	1
0.63203	0.019945	0.51828	582	0.03	1	100	1	0.9	0.5	1
0.63203	0.016739	0.49967	189	0.1	5	100	1	0.6	0.9	1
0.63203	0.016739	0.51649	189	0.1	6	100	1	0.6	0.9	1
0.63203	0.016739	0.51318	189	0.1	7	100	1	0.6	0.9	1
0.63203	0.016739	0.52107	189	0.1	6	100	1	0.6	0.9	1
0.63203	0.016739	0.50399	189	0.1	7	100	1	0.6	0.9	1
0.63202	0.01966	0.21056	88	0.1	2	100	1	0.8	0.5	1
0.632	0.018331	0.2303	81	0.1	2	100	1	0.9	0.8	1
0.63199	0.019401	0.19318	105	0.2	1	100	1	1	0.9	1
0.63198	0.019853	0.13517	18	0.6	1	100	1	0.7	0.9	1
0.63196	0.015041	0.4253	146	0.1	4	100	1	0.6	0.9	1
0.63193	0.020192	0.31161	243	0.1	1	100	1	0.8	0.9	1
0.63191	0.018323	0.28439	233	0.1	1	100	1	1	0.9	1
0.6319	0.019614	0.14616	34	0.7	1	100	1	0.8	0.8	1
0.63188	0.016329	0.31625	245	0.1	1	100	1	0.7	0.9	1
0.63186	0.023352	0.49325	512	0.03	1	100	1	0.9	0.7	1
0.63183	0.02134	0.15066	49	0.3	1	100	1	0.7	0.6	1
0.63182	0.015352	0.19477	52	0.2	2	100	1	0.6	0.7	1
0.63182	0.016829	0.34658	148	0.1	4	100	1	1	0.6	1
0.63179	0.02118	0.21291	127	0.1	1	100	1	0.8	0.8	1
0.63176	0.019036	0.61576	696	0.03	1	100	1	0.9	0.6	1
0.63176	0.017786	0.6364	235	0.1	5	100	1	1	0.9	1
0.63175	0.027599	0.1606	62	0.2	1	100	1	0.7	0.7	1
0.63174	0.016996	0.18235	62	0.1	2	100	1	0.6	0.5	1
0.63174	0.019542	0.31377	117	0.1	3	100	1	1	0.9	1
0.63172	0.015667	0.21099	79	0.5	2	100	1	0.9	0.7	1
0.6317	0.01799	0.70019	726	0.03	1	100	1	0.9	0.9	1
0.63169	0.020234	0.24189	214	0.1	1	100	1	1	0.5	1
0.63169	0.013037	0.20928	126	0.4	1	100	1	0.9	0.7	1
0.63169	0.020242	0.1546	59	0.4	1	100	1	1	0.8	1
0.63168	0.021893	0.5308	527	0.03	1	100	1	0.8	0.9	1
0.63164	0.020762	0.2682	220	0.1	1	100	1	0.9	0.6	1
0.63164	0.021789	0.14668	37	0.4	1	100	1	0.9	0.8	1
0.63164	0.013453	0.288	54	0.1	4	100	1	0.9	0.8	1
0.63162	0.012959	0.13725	22	0.5	1	100	1	0.7	0.8	1
0.63162	0.020934	0.13776	37	0.5	1	100	1	1	0.8	1
0.63161	0.018153	0.14413	22	0.7	1	100	1	0.6	0.6	1
0.6316	0.017148	0.15182	43	0.3	1	100	1	0.9	0.9	1
0.63158	0.020214	0.17722	48	0.2	2	100	1	0.8	0.6	1
0.63157	0.013565	0.25799	150	0.2	2	100	1	0.9	0.5	1
0.63157	0.018937	0.18138	100	0.2	1	100	1	0.9	0.6	1
0.63156	0.02146	0.12826	15	0.6	1	100	1	0.8	0.8	1
0.63156	0.018061	0.22622	163	0.2	1	100	1	0.7	0.5	1
0.63149	0.017369	0.14668	35	0.6	1	100	1	0.9	0.9	1
0.63146	0.017794	0.4016	316	0.03	2	100	1	0.8	0.5	1
0.63145	0.014235	0.31246	244	0.1	1	100	1	0.6	0.9	1
0.63144	0.015687	0.19656	113	0.3	1	100	1	0.7	0.7	1
0.63139	0.020034	0.18564	97	0.2	1	100	1	1	0.8	1
0.63139	0.013881	0.26525	102	0.1	3	100	1	0.8	0.6	1
0.63139	0.01308	0.39242	69	0.1	7	100	1	0.9	0.9	1
0.63139	0.01308	0.40014	69	0.1	7	100	1	0.9	0.9	1
0.63136	0.02091	0.30252	164	0.1	3	100	1	1	0.5	1
0.63133	0.022352	0.251	210	0.1	1	100	1	0.9	0.5	1
0.63132	0.013932	0.35806	228	0.03	2	100	1	0.6	0.7	1
0.63132	0.020214	0.14208	40	0.7	1	100	1	1	0.8	1
0.63132	0.014359	0.23121	75	0.1	2	100	1	0.6	0.9	1
0.63132	0.023283	0.21636	66	0.1	3	100	1	0.8	0.5	1
0.6313	0.014602	0.30136	98	0.1	4	100	1	0.8	0.6	1
0.63129	0.01433	0.23682	86	0.2	2	100	1	0.7	0.8	1
0.63128	0.019366	0.14576	37	0.4	1	100	1	0.8	0.8	1
0.63127	0.022868	0.14539	45	0.3	1	100	1	0.9	0.7	1
0.63127	0.016739	0.17131	66	0.4	1	100	1	0.9	0.9	1
0.63127	0.014512	0.3928	83	0.1	5	100	1	0.9	0.9	1
0.63126	0.014892	0.30861	274	0.1	1	100	1	0.6	0.6	1
0.63126	0.018661	0.1708	86	0.3	1	100	1	1	0.8	1
0.63121	0.017476	0.20908	81	0.1	2	100	1	0.6	0.6	1
0.63119	0.018621	0.39995	262	0.03	2	100	1	0.9	0.8	1
0.63118	0.017672	0.28784	239	0.1	1	100	1	1	0.8	1
0.63117	0.017137	0.15152	61	0.6	1	100	1	0.7	0.5	1
0.63115	0.018117	0.35113	241	0.03	2	100	1	0.8	0.6	1
0.63115	0.018457	0.17959	122	0.2	1	100	1	1	0.5	1
0.63114	0.019773	0.20942	80	0.1	2	100	1	0.9	0.6	1
0.63111	0.021015	0.15096	46	0.4	1	100	1	1	0.9	1
0.63111	0.016409	0.29737	127	0.1	3	100	1	1	0.7	1
0.6311	0.014877	0.47945	125	0.1	7	100	1	1	0.8	1
0.6311	0.014877	0.47957	125	0.1	7	100	1	1	0.8	1
0.63109	0.018462	0.20985	150	0.2	1	100	1	0.8	0.5	1
0.63107	0.016685	0.44083	132	0.1	6	100	1	1	0.7	1
0.63107	0.016685	0.43007	132	0.1	6	100	1	1	0.7	1
